iter	Passed	Remaining
1625	19007	27751
1626	19019	27740
1627	19031	27729
1628	19048	27725
1629	19061	27715
1630	19074	27705
1631	19086	27694
1632	19100	27685
1633	19116	27680
1634	19128	27669
1635	19141	27659
1636	19154	27649
1637	19167	27639
1638	19179	27628
1639	19192	27618
1640	19205	27608
1641	19218	27599
1642	19228	27584
1643	19239	27571
1644	19250	27559
1645	19265	27552
1646	19278	27542
1647	19292	27533
1648	19303	27521
1649	19316	27511
1650	19328	27500
1651	19340	27488
1652	19351	27475
1653	19363	27464
1654	19373	27451
1655	19385	27439
1656	19399	27430
1657	19412	27420
1658	19423	27407
1659	19435	27396
1660	19447	27385
1661	19458	27373
1662	19471	27363
1663	19484	27353
1664	19498	27345
1665	19514	27339
1666	19525	27326
1667	19537	27315
